No.;Time;;time 1;time 2;Delay;;Delay1;Delay2;jitter;;;;;;;;;;;;;;;Source;Destination;Protocol;Length;Info;;;
69;8.200.530;;8.200.530;8.200.530;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
70;8.200.530;;8.200.530;8.200.530;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
71;8.200.530;;8.200.530;8.200.530;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
72;8.200.530;;8.200.530;8.200.530;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
73;8.200.530;;8.200.530;8.200.530;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
74;8.200.530;;8.200.530;8.200.530;0;;1156;1.156;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
75;8.200.530;;8.200.530;8.201.686;1156;;-1156;0;1156;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
76;8.201.686;;8.201.686;8.201.686;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
77;8.201.686;;8.201.686;8.201.686;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
78;8.201.686;;8.201.686;8.201.686;0;;3743;3.743;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
79;8.201.686;;8.201.686;8.205.429;3743;;-3495;248;3743;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
80;8.205.429;;8.205.429;8.205.677;248;;-118;130;248;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
81;8.205.677;;8.205.677;8.205.807;130;;-4;126;130;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
82;8.205.807;;8.205.807;8.205.933;126;;-4;122;126;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
83;8.205.933;;8.205.933;8.206.055;122;;19;141;122;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
84;8.206.055;;8.206.055;8.206.196;141;;-1;140;141;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
85;8.206.196;;8.206.196;8.206.336;140;;1655;1.795;140;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
86;8.206.336;;8.206.336;8.208.131;1795;;-1504;291;1795;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
87;8.208.131;;8.208.131;8.208.422;291;;-118;173;291;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
88;8.208.422;;8.208.422;8.208.595;173;;-14;159;173;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;87;63885  >  443 Len=45;;;
89;8.208.595;;8.208.595;8.208.754;159;;22;181;159;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
90;8.208.754;;8.208.754;8.208.935;181;;-28;153;181;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
91;8.208.935;;8.208.935;8.209.088;153;;-18;135;153;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;79;63885  >  443 Len=37;;;
92;8.209.088;;8.209.088;8.209.223;135;;288;423;135;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
93;8.209.223;;8.209.223;8.209.646;423;;-423;0;423;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
94;8.209.646;;8.209.646;8.209.646;0;;1369;1.369;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
95;8.209.646;;8.209.646;8.211.015;1369;;18813;20.182;1369;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
96;8.211.015;;8.211.015;8.231.197;20182;;-20182;0;20182;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
97;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
98;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
99;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
100;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
101;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
102;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
103;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
104;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
105;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
106;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
107;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
108;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
109;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
110;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
111;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
112;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
113;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
114;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
115;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
116;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
117;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
118;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
119;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
120;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
121;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
122;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
123;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
124;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
125;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
126;8.231.197;;8.231.197;8.231.197;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
127;8.231.197;;8.231.197;8.231.197;0;;1728;1.728;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
128;8.231.197;;8.231.197;8.232.925;1728;;-1450;278;1728;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
129;8.232.925;;8.232.925;8.233.203;278;;-128;150;278;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
130;8.233.203;;8.233.203;8.233.353;150;;-29;121;150;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
131;8.233.353;;8.233.353;8.233.474;121;;17;138;121;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
132;8.233.474;;8.233.474;8.233.612;138;;10;148;138;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;79;63885  >  443 Len=37;;;
133;8.233.612;;8.233.612;8.233.760;148;;15;163;148;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
134;8.233.760;;8.233.760;8.233.923;163;;-16;147;163;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
135;8.233.923;;8.233.923;8.234.070;147;;-5;142;147;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
136;8.234.070;;8.234.070;8.234.212;142;;5;147;142;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
137;8.234.212;;8.234.212;8.234.359;147;;-2;145;147;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
138;8.234.359;;8.234.359;8.234.504;145;;3;148;145;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;79;63885  >  443 Len=37;;;
139;8.234.504;;8.234.504;8.234.652;148;;204;352;148;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
140;8.234.652;;8.234.652;8.235.004;352;;-128;224;352;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
141;8.235.004;;8.235.004;8.235.228;224;;-57;167;224;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
142;8.235.228;;8.235.228;8.235.395;167;;285;452;167;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;90;63885  >  443 Len=48;;;
143;8.235.395;;8.235.395;8.235.847;452;;-27;425;452;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
144;8.235.847;;8.235.847;8.236.272;425;;-211;214;425;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
145;8.236.272;;8.236.272;8.236.486;214;;143;357;214;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
146;8.236.486;;8.236.486;8.236.843;357;;190;547;357;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
147;8.236.843;;8.236.843;8.237.390;547;;595;1.142;547;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
148;8.237.390;;8.237.390;8.238.532;1142;;-721;421;1142;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
149;8.238.532;;8.238.532;8.238.953;421;;124;545;421;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
150;8.238.953;;8.238.953;8.239.498;545;;141;686;545;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
151;8.239.498;;8.239.498;8.240.184;686;;-126;560;686;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
152;8.240.184;;8.240.184;8.240.744;560;;-560;0;560;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
153;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
154;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
155;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
156;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
157;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
158;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
